name,content
Benalaxyl,0.833
Benzoic acid,0.155
Metalaxyl,0.574
Diethofencarb,0.28
Benzo[ghi]perylene,0.928
"2,4-Dinitrophenol",0.803
Propoxur,0.258
Ametryn,0.429
Pencycuron,0.924
Methoxyfenozide,0.846
Diethyl phthalic acid,0.04
Flutriafol,0.262
Isosafrole,0.871
Dibutoxyethyl phthalate,0.211
Flusilazole,0.007
Ethofumesate,0.723
Propamocarb,0.102
Pyriproxyfen,0.175
Tebuconazole,0.922
Pirimicarb,0.949
Furathiocarb,0.623
Thiabendazole,0.225
Ethyl methanesulfonate,0.766
Acenaphthene,0.473
Fenoxycarb,0.036
Halofenozide,0.181
Indoxacarb,0.11
Triadimefon,0.022
Fluoxastrobin,0.738
Carbetamide,0.158
Cyproconazole,0.479
Metribuzin,0.818
Chrysene,0.569
Fenuron,0.887
Benzyl butyl phthalate,0.055
Perfluorohexane-1-sulphonic acid,0.593
Perfluoroheptanesulfonic acid,0.342
Vamidothion,0.653
Tricyclazole,0.639
Triadimenol,0.788
Thiophanate-methyl,0.46
Thiacloprid,0.451
Tebufenpyrad,0.719
Tebufenozide,0.843
Spiroxamine,0.02
Spirodiclofen,0.657
Pyridaben,0.012
Pymetrozine,0.651
Penconazole,0.846
Oxamyl,0.842
Omethoate,0.847
Methabenzthiazuron,0.697
Mepanipyrim,0.344
Mefenacet,0.616
Linuron,0.92
Imidacloprid,0.415
Fuberidazole,0.273
Flufenoxuron,0.17
Flufenacet,0.807
Flonicamid,0.157
Fipronil,0.245
Fenazaquin,0.034
Etoxazole,0.239
Enilconazole,0.33
Diuron,0.804
Dinotefuran,0.599
Diclobutrazol,0.427
Chlortoluron,0.356
Carbendazim,0.916
Carbaryl,0.092
Bupirimate,0.405
Boscalid,0.302
Bifenazate,0.548
Azoxystrobin,0.858
Acetamiprid,0.88
(R)-Myclobutanil,0.956
(E)-Monocrotophos,0.797
Fenarimol,0.041
Acenaphthylene,0.583
Nitrobenzene,0.392
4-Nitroquinoline N-oxide,0.481
"3,3'-Dichlorobenzidine",0.32
"2,4-Dichlorophenol",0.404